tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name,clean tweets,clean tweet length
@Hamdan3003 بين المستودعات حتى تصل إلى نقطة التوزيع الأقرب للعنوان الذي تم تسجيله في الطلب من قبلك. و عند خروج الشحنة للتوصيل سيتم إرسال رسالة نصية لإعلامك بذلك، و بعد ذلك سيتم التواصل معك من طرف المندوب لتنسيق استلام الشحنة، شكراً لك. 2/2,1,1236697996139659269,2020-03-08 16:59:13,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, بين المستودعات حتي تصل الي نقطه التوزيع الاقرب لعنوان الذي تم تسجيله في الطلب من قبلك و عند خروج الشحنه لتوصيل سيتم ارسال رساله نصيه لاعلامك بذلك و بعد ذلك سيتم التواصل معك من طرف المندوب لتنسيق استلام الشحنه شكراً لك 2,220
"@Hamdan3003 وعليكم السلام، نود التوضيح أن من مميزات منتجات ""إكسبرس"" هي أنه تتغير حالة الشحنة من قيد التنفيذ إلى قيد الشحن خلال ٢٤ ساعة كحد أقصى، حيث أن المنتجات تكون متواجدة لدينا في مخازننا، وأما بالنسبة لحالة ""قيد الشحن"" فليست فقط تعني توصيل الشحنة للعميل، و إنما يمكن أن تكون قيد الشحن 1/2",1,1236697995225321475,2020-03-08 16:59:13,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, وعليكم السلام نود التوضيح ان من ميزات منتجات اكسبرس هي انه تغير حاله الشحنه من قيد التنفيذ الي قيد الشحن خلال ٢٤ ساعه كحد اقصي حيث ان المنتجات تكون متواجده لدينا في مخازنا واما بالنسبه لحاله قيد الشحن فليست فقط تعني توصيل الشحنه لعميل و انما يمكن ان تكون قيد الشحن 12,268
@warshp يؤسفنا سماع ذلك، ونتفهم استيائك بكل تأكيد، ونرجو منك قبول أعتذارنا، لقد منا بالرد على الخاص، شكراً لك.,1,1236696244015321090,2020-03-08 16:52:15,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, يؤسفنا سماع ذلك ونتفهم استيائك بكل تاكيد ونرجو منك قبول اعتذارنا لقد منا بالرد علي الخاص شكراً لك,98
@abdullahA213 نعتذر منك، كما نؤكد أننا ما زلنا نتابع الأمر، شاكرين صبرك وتفهمك.,1,1236695087364681729,2020-03-08 16:47:40,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نعتذر منك كما نؤكد انا ما زلنا نتابع الامر شاكرين صبرك وتفهمك,62
@warshp نتفهم سبب إستيائك، ونرجو منك تزويدنا بتفاصيل طلبك عبر الخاص لنتمكن من عمل اللازم، شكرًا لك.,1,1236691270627667968,2020-03-08 16:32:30,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نتفهم سب استيائك ونرجو منك تزويدنا بتفاصيل طلبك عبر الخاص لنتمكن من عمل الازم شكرًا لك,87
@ahhmd_9 مرحباً، نأسف لسماع ذلك و نرجو منك التواصل معنا عبر الخاص لنتمكن من مساعدتك بصورة أفضل، شكراً لك.,1,1236690802082004998,2020-03-08 16:30:38,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً ناسف لسماع ذلك و نرجو منك التواصل معنا عبر الخاص لنتمكن من مساعدتك بصوره افضل شكراً لك,94
@warshp نعتذر عن اي مشكلة حصلت، يرجى تزويدنا بتفاصيل طلب عبر الخاص وسنكون اكثر من سعداء لتقديم المساعدة، شكراً لك.,1,1236690674327699458,2020-03-08 16:30:08,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نعتذر عن اي مشكله حصلت يرجي تزويدنا بتفاصيل طلب عبر الخاص وسنكون اكثر من سعداء لتقديم المساعده شكراً لك,104
@warshp مرحباً بك، يرجى تزويدنا باستفسارك عبر الخاص لنتمكن من مساعدتك بشكل أفضل، شكراً لك.,1,1236689373501980673,2020-03-08 16:24:57,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك يرجي تزويدنا باستفسارك عبر الخاص لنتمكن من مساعدتك بشكل افضل شكراً لك,80
@bilsan25 يؤسفنا سماع ذلك، ونرجو منك إذا كنت تواجه أي مشكلة التواصل معنا بتفاصيل طلبك عبر الخاص حتى نتمكن من مساعدتك بشكل أفضل. شكراً لك. https://t.co/hkmzQWoBmz,1,1236684923844657153,2020-03-08 16:07:16,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, يؤسفنا سماع ذلك ونرجو منك اذا كنت تواجه اي مشكله التواصل معنا بتفاصيل طلبك عبر الخاص حتي نتمكن من مساعدتك بشكل افضل شكراً لك ,126
@_ioc1_ مرحباً بك، يمكنك التقديم على الوظائف المتاحة من خلال الرابط التالي https://t.co/vCg0Yn8zZj ، ويمكنك التقديم من خلال الرابط التالى https://t.co/pR1OmIMTT4 ، لوظائف المناديب. و في حال قبولك سيتم التواصل معك من طرف قسم الموارد  البشرية، مع الشكر.,1,1236683818343464960,2020-03-08 16:02:53,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك يمكنك التقديم علي الوظائف المتاحه من خلال الرابط التالي ويمكنك التقديم من خلال الرابط التالي لوظائف المناديب و في حال قبولك سيتم التواصل معك من طرف قسم الموارد البشريه مع الشكر,187
@bilsan25 مرحبًا بك، نرجو تزويدنا بتفاصيل المشكلة التي واجهتك عبر الخاص حتى نتمكن من مساعدتك بشكل أفضل. شكرًا لك.,1,1236683723350986754,2020-03-08 16:02:30,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك نرجو تزويدنا بتفاصيل المشكله التي واجهتك عبر الخاص حتي نتمكن من مساعدتك بشكل افضل شكرًا لك,101
@Aldosi77 يؤسفنا سماع ذلك، ونعتذر منك عن أي إشكال، يرجى منك التواصل معنا عبر الخاص حتى نتمكن من مساعدتك بشكل أفضل. مع الشكر. https://t.co/hkmzQWoBmz,1,1236680089997398021,2020-03-08 15:48:04,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, يؤسفنا سماع ذلك ونعتذر منك عن اي اشكال يرجي منك التواصل معنا عبر الخاص حتي نتمكن من مساعدتك بشكل افضل مع الشكر ,112
